ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5684760,HN493610,07/28/2007 01:10:00 AM,032XX W LE MOYNE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1422,014,26,23,14,1154455,1909786,2007,04/15/2016 08:55:02 AM,41.908275915,-87.7080471,"(41.908275915, -87.7080471)"
5684761,HN360895,05/23/2007 06:57:00 PM,024XX W ROOSEVELT RD,2027,NARCOTICS,POSS: CRACK,ALLEY,true,false,1135,011,28,28,18,1160347,1894643,2007,04/15/2016 08:55:02 AM,41.866602302,-87.686821932,"(41.866602302, -87.686821932)"
5684764,HN485698,07/24/2007 10:16:18 AM,016XX S ST LOUIS AVE,4651,OTHER OFFENSE,SEX OFFENDER: FAIL REG NEW ADD,RESIDENCE,false,false,1021,010,24,29,26,1153308,1891524,2007,04/15/2016 08:55:02 AM,41.858185975,-87.712745747,"(41.858185975, -87.712745747)"
5684768,HN493634,07/28/2007 03:20:00 AM,014XX N MOHAWK ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,false,1821,018,43,8,08B,1172395,1909941,2007,04/15/2016 08:55:02 AM,41.908323469,-87.642140308,"(41.908323469, -87.642140308)"
5684769,HN361920,05/24/2007 11:05:00 AM,004XX S KOSTNER AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),GAS STATION,true,false,1131,011,24,26,18,1147129,1897553,2007,04/15/2016 08:55:02 AM,41.874850606,-87.735272577,"(41.874850606, -87.735272577)"
5684770,HN475864,06/08/2007 03:00:00 PM,024XX N KEDZIE BLVD,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,1413,014,35,22,05,1154626,1916177,2007,04/15/2016 08:55:02 AM,41.925809934,-87.707247537,"(41.925809934, -87.707247537)"
5684771,HN466653,07/14/2007 08:15:00 PM,079XX S INGLESIDE AVE,2220,LIQUOR LAW VIOLATION,ILLEGAL POSSESSION BY MINOR,SIDEWALK,true,false,0624,006,8,44,22,1183938,1852596,2007,04/15/2016 08:55:02 AM,41.750701977,-87.601532203,"(41.750701977, -87.601532203)"
5684773,HN494082,07/21/2007 12:00:00 PM,007XX S FEDERAL ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0132,001,2,32,06,1175911,1896968,2007,04/15/2016 08:55:02 AM,41.872646393,-87.629615264,"(41.872646393, -87.629615264)"
5684774,HN362183,05/24/2007 01:05:00 PM,043XX W JACKSON BLVD,2024,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,true,false,1115,011,28,26,18,1147440,1898332,2007,04/15/2016 08:55:02 AM,41.876982321,-87.734110736,"(41.876982321, -87.734110736)"
5684775,HN492574,07/27/2007 01:40:00 PM,016XX E 54TH ST,0810,THEFT,OVER $500,STREET,false,false,2132,002,5,41,06,1188326,1869918,2007,04/15/2016 08:55:02 AM,41.798131427,-87.584900296,"(41.798131427, -87.584900296)"
5684777,HN494013,07/28/2007 12:01:00 AM,028XX W LYNDALE ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,1414,014,35,22,05,1157021,1914958,2007,04/15/2016 08:55:02 AM,41.922416582,-87.698480239,"(41.922416582, -87.698480239)"
5684779,HN366046,05/26/2007 09:45:00 AM,027XX W MONROE ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1125,011,2,27,18,1158092,1899573,2007,04/15/2016 08:55:02 AM,41.880177011,-87.694965695,"(41.880177011, -87.694965695)"
5684781,HN366621,05/26/2007 03:10:00 PM,045XX W DIVISION ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,true,false,1111,011,37,23,18,1145890,1907604,2007,04/15/2016 08:55:02 AM,41.902455297,-87.739566356,"(41.902455297, -87.739566356)"
